formula,p Band Center,formula composition,formula_obj,formula entropy,A_site_obj,B_site_obj,A_site_Z,A_site_ionization_energy,A_site_eletronegativity,A_site_radius,A_site_lewis_acid_strengths,A_site_g,A_site_p,A_site_mass,A_site_Valence_electron,A_site_Polarization_rate,Tolerance_factor
La0.167Sr0.167Mg0.167Pr0.167Nd0.167Bi0.167Fe1O3,-2.342580172,La0.167Sr0.167Mg0.167Pr0.167Nd0.167Bi0.167FeO3.0,La0.167 Sr0.167 Mg0.167 Pr0.167 Nd0.167 Bi0.167 Fe1 O3,-1.7968491076688844,La0.167Sr0.167Mg0.167Pr0.167Nd0.167Bi0.167,Fe1,51.50000000000001,6.201666666666668,1.3533333333333333,1.2416666666666667,0.3308333333333333,2.6666666666666665,5.666666666666667,124.16166666666668,3.0,28.5,0.9134182951757764
La0.167Sr0.167Na0.167Mg0.167Sm0.167Bi0.167Fe1O3,-2.102172278,La0.167Sr0.167Na0.167Mg0.167Sm0.167Bi0.167FeO3.0,La0.167 Sr0.167 Na0.167 Mg0.167 Sm0.167 Bi0.167 Fe1 O3,-1.7968491076688844,La0.167Sr0.167Na0.167Mg0.167Sm0.167Bi0.167,Fe1,43.83333333333334,6.165,1.2800000000000002,1.2483333333333333,0.28550000000000003,2.3333333333333335,5.333333333333334,105.52833333333334,2.666666666666667,29.500000000000004,0.9157234517566617
La0.167Sr0.167Mg0.167Nd0.167Gd0.167Bi0.167Fe1O3,-2.36042034,La0.167Sr0.167Mg0.167Nd0.167Gd0.167Bi0.167FeO3.0,La0.167 Sr0.167 Mg0.167 Nd0.167 Gd0.167 Bi0.167 Fe1 O3,-1.7968491076688844,La0.167Sr0.167Mg0.167Nd0.167Gd0.167Bi0.167,Fe1,52.333333333333336,6.315000000000001,1.3516666666666668,1.2183333333333335,0.3335,2.6666666666666665,5.666666666666667,126.885,3.0,27.849999999999998,0.9053502471426781
La0.167Sr0.167Mg0.167Sm0.167Eu0.167Bi0.167Fe1O3,-2.428931291,La0.167Sr0.167Mg0.167Sm0.167Eu0.167Bi0.167FeO3.0,La0.167 Sr0.167 Mg0.167 Sm0.167 Eu0.167 Bi0.167 Fe1 O3,-1.7968491076688844,La0.167Sr0.167Mg0.167Sm0.167Eu0.167Bi0.167,Fe1,52.50000000000001,6.253333333333334,1.3250000000000002,1.2166666666666668,0.33,2.6666666666666665,5.666666666666667,127.02333333333334,3.0,27.883333333333333,0.9047739579974569
La0.167Sr0.167Mg0.167Nd0.167Gd0.167Y0.167Fe1O3,-1.959920826,La0.167Sr0.167Mg0.167Nd0.167Gd0.167Y0.167FeO3.0,La0.167 Sr0.167 Mg0.167 Nd0.167 Gd0.167 Y0.167 Fe1 O3,-2.019992658983094,La0.167Sr0.167Mg0.167Nd0.167Gd0.167Y0.167,Fe1,45.0,6.136666666666668,1.2183333333333335,1.26,0.3128333333333333,2.6666666666666665,5.666666666666667,106.87333333333335,2.6666666666666665,31.883333333333333,0.919757475773211
La0.167Sr0.167Mg0.167Pr0.167Nd0.167Eu0.167Fe1O3,-1.956419947,La0.167Sr0.167Mg0.167Pr0.167Nd0.167Eu0.167FeO3.0,La0.167 Sr0.167 Mg0.167 Pr0.167 Nd0.167 Eu0.167 Fe1 O3,-2.019992658983094,La0.167Sr0.167Mg0.167Pr0.167Nd0.167Eu0.167,Fe1,48.16666666666667,5.9316666666666675,1.2166666666666666,1.27,0.3183333333333333,2.6666666666666665,5.666666666666667,114.65833333333335,2.6666666666666665,32.31666666666667,0.9232152106445387
La0.167Sr0.167Na0.167Mg0.167Pr0.167Gd0.167Fe1O3,-2.204630897,La0.167Sr0.167Na0.167Mg0.167Pr0.167Gd0.167FeO3.0,La0.167 Sr0.167 Na0.167 Mg0.167 Pr0.167 Gd0.167 Fe1 O3,-2.019992658983094,La0.167Sr0.167Na0.167Mg0.167Pr0.167Gd0.167,Fe1,40.16666666666667,5.946666666666667,1.2133333333333336,1.2866666666666666,0.278,2.3333333333333335,5.333333333333334,95.33166666666668,2.3333333333333335,33.60000000000001,0.9289781020967518
La0.167Sr0.167Mg0.167Ba0.167Pr0.167Bi0.167Fe1O3,-2.295133466,La0.167Sr0.167Mg0.167Ba0.167Pr0.167Bi0.167FeO3.0,La0.167 Sr0.167 Mg0.167 Ba0.167 Pr0.167 Bi0.167 Fe1 O3,-1.7968491076688844,La0.167Sr0.167Mg0.167Ba0.167Pr0.167Bi0.167,Fe1,50.833333333333336,6.148333333333334,1.3116666666666668,1.2983333333333336,0.3223333333333333,2.6666666666666665,5.666666666666667,123.01,2.8333333333333335,29.3,0.933012126113301
La0.167Sr0.167Mg0.167Ba0.167Eu0.167Bi0.167Fe1O3,-2.052097589,La0.167Sr0.167Mg0.167Ba0.167Eu0.167Bi0.167FeO3.0,La0.167 Sr0.167 Mg0.167 Ba0.167 Eu0.167 Bi0.167 Fe1 O3,-1.7968491076688844,La0.167Sr0.167Mg0.167Ba0.167Eu0.167Bi0.167,Fe1,51.50000000000001,6.1816666666666675,1.2783333333333333,1.2783333333333333,0.32149999999999995,2.6666666666666665,5.666666666666667,124.85166666666669,2.8333333333333335,28.76666666666667,0.9260966563706453
La0.167Sr0.167K0.167Mg0.167Eu0.167Bi0.167Fe1O3,-2.170295969,La0.167Sr0.167K0.167Mg0.167Eu0.167Bi0.167FeO3.0,La0.167 Sr0.167 K0.167 Mg0.167 Eu0.167 Bi0.167 Fe1 O3,-1.7968491076688844,La0.167Sr0.167K0.167Mg0.167Eu0.167Bi0.167,Fe1,45.33333333333334,6.036666666666667,1.2666666666666668,1.2833333333333334,0.2846666666666667,2.3333333333333335,5.5,108.48,2.666666666666667,30.950000000000003,0.9278255238063093
