formula,p Band Center,formula entropy,A_site_Z,A_site_ionization_energy,A_site_eletronegativity,A_site_radius,A_site_lewis_acid_strengths,A_site_g,A_site_p,A_site_mass,A_site_Valence_electron,A_site_Polarization_rate,Tolerance_factor,A_minus_B_electronegativity,polarizability_density,ionic_potential,radius_times_eneg,entropy_times_eneg,entropy_times_polarization,entropy_per_valence,ionization_energy_per_radius,polarization_per_mass,lewis_strength_per_radius,mass_times_radius,entropy_times_ionization,log_mass,radius_squared,mass_per_radius3,mass_times_ionization
La0.167Sr0.167Mg0.167Pr0.167Nd0.167Bi0.167Fe1O3,-2.342580172,-1.7968491076688844,51.50000000000001,6.201666666666668,1.3533333333333333,1.2416666666666667,0.3308333333333333,2.6666666666666665,5.666666666666667,124.16166666666668,3.0,28.5,0.9134182951757764,-0.4766666666666668,14.887774871982609,4.9946308724832225,1.680388888888889,-2.4317357923785567,-51.210199568563205,-0.5989497025562948,4.9946308724832225,0.2295394445413909,0.2664429530201342,154.1674027777778,-11.143459216059867,4.821584479884333,1.5417361111111112,64.8593312653853,770.0092694444446
La0.167Sr0.167Na0.167Mg0.167Sm0.167Bi0.167Fe1O3,-2.102172278,-1.7968491076688844,43.83333333333334,6.165,1.2800000000000002,1.2483333333333333,0.2855,2.333333333333333,5.333333333333334,105.52833333333334,2.666666666666667,29.500000000000004,0.9157234517566616,-0.5499999999999998,15.164577468071458,4.938584779706275,1.597866666666667,-2.2999668578161723,-53.007048676232095,-0.6738184153758315,4.938584779706275,0.2795457775952746,0.22870493991989319,131.7345361111111,-11.077574748778673,4.6589794792609585,1.558336111111111,54.247206302027145,650.582175
La0.167Sr0.167Mg0.167Nd0.167Gd0.167Bi0.167Fe1O3,-2.36042034,-1.7968491076688844,52.333333333333336,6.315000000000001,1.3516666666666668,1.2183333333333335,0.3335,2.6666666666666665,5.666666666666667,126.885,3.0,27.85,0.905350247142678,-0.4783333333333333,15.400216269151885,5.183310533515733,1.646780555555556,-2.4287410438657755,-50.04224764857843,-0.5989497025562948,5.183310533515733,0.21949008945107776,0.273734610123119,154.58822500000002,-11.347102114929008,4.843281164424088,1.4843361111111115,70.1636065102814,801.2787750000002
La0.167Sr0.167Mg0.167Sm0.167Eu0.167Bi0.167Fe1O3,-2.428931291,-1.7968491076688844,52.50000000000001,6.253333333333334,1.3250000000000002,1.2166666666666668,0.33,2.6666666666666665,5.666666666666667,127.02333333333334,3.0,27.883333333333333,0.9047739579974567,-0.5049999999999999,15.482099753995321,5.13972602739726,1.6120833333333338,-2.3808250676612723,-50.10214261883406,-0.5989497025562948,5.13972602739726,0.2195134752145275,0.27123287671232876,154.5450555555556,-11.23629641995609,4.844370796616968,1.480277777777778,70.52915425289895,794.3192444444445
La0.167Sr0.167Mg0.167Nd0.167Gd0.167Y0.167Fe1O3,-1.959920826,-2.019992658983094,45.0,6.136666666666668,1.2183333333333335,1.26,0.3128333333333333,2.6666666666666665,5.666666666666667,106.87333333333336,2.6666666666666665,31.883333333333333,0.919757475773211,-0.6116666666666666,15.93867019666969,4.870370370370371,1.5351000000000001,-2.461024389527737,-64.40409927724431,-0.7574972471186603,4.870370370370371,0.298328239036866,0.24828042328042324,134.66040000000004,-12.396021617292922,4.671644332593418,1.5876000000000001,53.42662246164389,655.8460222222225
La0.167Sr0.167Mg0.167Pr0.167Nd0.167Eu0.167Fe1O3,-1.956419947,-2.019992658983094,48.16666666666667,5.931666666666668,1.2166666666666666,1.27,0.3183333333333333,2.6666666666666665,5.666666666666667,114.65833333333336,2.6666666666666665,32.31666666666667,0.9232152106445388,-0.6133333333333335,15.776671973291453,4.670603674540684,1.5451666666666666,-2.4576577350960975,-65.27942942947033,-0.7574972471186603,4.670603674540684,0.2818518787702594,0.2506561679790026,145.61608333333336,-11.98192312220139,4.741956691645771,1.6129,55.97504633329477,680.1150138888893
La0.167Sr0.167Na0.167Mg0.167Pr0.167Gd0.167Fe1O3,-2.204630897,-2.019992658983094,40.16666666666667,5.946666666666667,1.2133333333333336,1.2866666666666666,0.278,2.333333333333333,5.333333333333334,95.33166666666668,2.333333333333333,33.60000000000001,0.9289781020967518,-0.6166666666666665,15.773974250030294,4.6217616580310885,1.5611555555555559,-2.4509244262328216,-67.87175334183198,-0.8657111395641833,4.6217616580310885,0.3524537142257732,0.21606217616580314,122.66007777777779,-12.012223012086134,4.55736203948144,1.655511111111111,44.754739738466405,566.9056444444445
La0.167Sr0.167Mg0.167Ba0.167Pr0.167Bi0.167Fe1O3,-2.295133466,-1.7968491076688844,50.833333333333336,6.148333333333334,1.3116666666666668,1.2983333333333336,0.3223333333333333,2.6666666666666665,5.666666666666667,123.01,2.833333333333333,29.3,0.933012126113301,-0.5183333333333333,13.387793300382942,4.735558408215661,1.702980555555556,-2.35686707955902,-52.64767885469831,-0.6341820380007828,4.735558408215661,0.23819201690919437,0.24826700898587928,159.70798333333337,-11.04762726365086,4.8122656528806935,1.685669444444445,56.20588579795582,756.3064833333335
La0.167Sr0.167Mg0.167Ba0.167Eu0.167Bi0.167Fe1O3,-2.052097589,-1.7968491076688844,51.50000000000001,6.181666666666668,1.278333333333333,1.278333333333333,0.3214999999999999,2.6666666666666665,5.666666666666667,124.85166666666667,2.833333333333333,28.76666666666667,0.9260966563706452,-0.551666666666667,13.770737516540889,4.835723598435465,1.6341361111111106,-2.29697210930339,-51.68935933060825,-0.6341820380007828,4.835723598435465,0.23040674934255317,0.2514993481095176,159.6020472222222,-11.10752223390649,4.827126365989237,1.6341361111111106,59.767075208667116,771.7913861111114
La0.167Sr0.167K0.167Mg0.167Eu0.167Bi0.167Fe1O3,-2.170295969,-1.7968491076688844,45.33333333333334,6.036666666666667,1.2666666666666668,1.2833333333333334,0.2846666666666667,2.333333333333333,5.5,108.48,2.666666666666667,30.950000000000003,0.9278255238063092,-0.5633333333333332,14.643410224452557,4.703896103896104,1.6255555555555559,-2.2760088697139205,-55.61247988235198,-0.6738184153758315,4.703896103896104,0.28530604719764013,0.2218181818181818,139.216,-10.8469791132945,4.686565824192085,1.6469444444444448,51.32527111950285,654.8576
